code,affiliation_code,set_code,name,subtitle,type_code,points,BoFpoints,cost,health,side1,side2,side3,side4,side5,side6,faction_code,text,deck_limit,flavor,has_die,has_errata,illustrator,is_unique,position,rarity_code,ttscardid,subtype1,subtype2,subtype3,reprint_of
01011,villain,AW,Kylo Ren,Vader's Disciple,character,10/13,10/13,NA,11,1MD,2MD1,1Sh,1R,Sp,-,blue,[special] - Choose an opponent's character. Then look at a random card in that opponent's hand and deal damage to that character equal to the cost of the card you just looked at.,1,NA,TRUE,TRUE,Darren Tan,TRUE,11,S,1310,apprentice,NA,NA,NA
01012,villain,AW,Nightsister,NA,character,8,8,NA,7,1RD,2RD,1Dr,1Dc,1R,-,blue,<b>Action</b> - Reroll a die. Deal 1 damage to this character.,3,Nightsisters are skilled at twisting the Force to serve their own ends.,TRUE,TRUE,Johannes Holm,FALSE,12,R,1311,witch,NA,NA,NA
01013,villain,AW,Force Choke,NA,upgrade,NA,NA,2,NA,2Dr,1Dc,1R,Sp,Sp,-,blue,"Blue character only.
[special] - Deal 1 unblockable damage to another character. Then you may turn one of its character or upgrade dice to any side.",2,NA,TRUE,FALSE,Rob Rey,FALSE,13,L,1312,ability,NA,NA,NA
01014,villain,AW,Immobilize,NA,upgrade,NA,NA,2,NA,1Dr,1Sh,1Sh,2Sh,1R,-,blue,"Blue Character only.
<b>Action</b> - Remove this die to turn a die to a side showing a blank ([blank]).",2,NA,TRUE,FALSE,Tony Foti,FALSE,14,R,1313,ability,NA,NA,NA
01015,villain,AW,Kylo Ren's Lightsaber,NA,upgrade,NA,NA,3,NA,3MD1,+2MD,+3MD,1Sh,Sp,-,blue,"Blue character only.
[special] - Deal 2 damage to a character. If any of this damage is blocked by shields, reroll this die instead of removing it from your pool.",2,NA,TRUE,FALSE,NA,TRUE,15,L,1314,weapon,NA,NA,NA
01016,villain,AW,Sith Holocron,NA,upgrade,NA,NA,0,NA,1F,+1R,Sp,Sp,-,-,blue,"[special] - Switch this upgrade with a Blue <i>ability</i> upgrade in your hand, ignoring its play restrictions. Then you may spend 1 resource to roll its die into your pool, if able.",2,NA,TRUE,FALSE,Sara Biddle,FALSE,16,R,1315,equipment,NA,NA,NA
01017,villain,AW,Infantry Grenades,NA,upgrade,NA,NA,2,NA,1RD,2RD1,1R,Sp,-,-,gray,[special] - Deal 2 damage to each of an opponent's characters. Discard this upgrade from play.,2,NA,TRUE,FALSE,Christina Davis,FALSE,17,R,1316,weapon,NA,NA,NA
01018,villain,AW,Speeder Bike Scout,NA,support,NA,NA,3,NA,2RD,3RD1,1Dr,1Sh,Sp,-,gray,[special] - Remove a die. You may take one additional action.,2,NA,TRUE,FALSE,Steve Hamilton,FALSE,18,R,1317,vehicle,NA,NA,NA
01019,villain,AW,Bala-Tik,Gang Leader,character,8/11,8/11,NA,8,1RD,+2RD,1F,1Sh,1R,-,yellow,"After an opponent's character is defeated, you may ready this character.",1,NA,TRUE,TRUE,Kate Laird,TRUE,19,R,1318,leader,scoundrel,NA,NA
01020,villain,AW,Jabba the Hutt,The Great and Mighty,character,11/14,11/14,NA,11,1F,1F,2Dr,2Dc,1R,-,yellow,"After you activate this character, you may reroll a Yellow die.",1,"""I shall enjoy watching you die.""",TRUE,TRUE,Mike Nash,TRUE,20,L,1319,leader,scoundrel,NA,NA
01021,villain,AW,Jango Fett,Lethal Mercenary,character,12/16,11/14,NA,10,1RD,2RD,1MD,1R,+1R,-,yellow,"After an opponent activates a character, you may activate this character.",1,"""There can be no mistakes this time.""",TRUE,TRUE,Adam Lane,TRUE,21,R,1320,bounty-hunter,NA,NA,NA
01022,villain,AW,Tusken Raider,NA,character,9,9,NA,8,1RD,1MD,3MD1,1Sh,1R,-,yellow,"After you activate this character, you may discard a card from your hand to resolve one of its character or upgrade dice.",3,NA,TRUE,TRUE,NA,FALSE,22,R,1321,scavenger,NA,NA,NA
01023,villain,AW,Crime Lord,NA,upgrade,NA,NA,4,NA,2F,3Dr1,2Sh,2R,Sp,Sp,yellow,"Yellow Character only.
[special] - Spend 5 resources to choose a character. That character is defeated after this round ends.",2,NA,TRUE,FALSE,Imaginary FS Ltd. PTE,FALSE,23,L,1322,ability,NA,NA,NA
01024,villain,AW,Flame Thrower,NA,upgrade,NA,NA,3,NA,2MD,4MD1,1Dr,1R,Sp,-,yellow,[special] - Deal 1 damage each to up to 3 different characters.,2,NA,TRUE,FALSE,Tiziano Baracchi,FALSE,24,R,1323,weapon,NA,NA,NA
01025,villain,AW,Gaffi Stick,NA,upgrade,NA,NA,2,NA,2MD1,+2MD,1Dr,1R,Sp,-,yellow,"Redeploy.
[special] - Remove one of your dice showing melee damage ([melee]) to deal 3 damage to a character.",2,NA,TRUE,FALSE,Joel Hustak,FALSE,25,R,1324,weapon,NA,NA,NA
01026,villain,AW,On The Hunt,NA,upgrade,NA,NA,1,NA,+1RD,+1MD,1Dc,Sp,Sp,-,yellow,[special] - Remove all shields from a character. You may spend 1 resource to remove one of its character or upgrade dice.,2,NA,TRUE,FALSE,Jason Juta,FALSE,26,R,1325,ability,NA,NA,NA
01027,hero,AW,Admiral Ackbar,Perceptive Tactician,character,10/14,9/12,NA,9,1RD,2F,1Dc,1R,1R,-,red,"After an opponent plays or discards the last card from their hand, they choose and deal 2 damage to one of their characters.",1,NA,TRUE,TRUE,Andrew Olson,TRUE,27,R,1326,leader,NA,NA,NA
01028,hero,AW,Leia Organa,Born Leader,character,12/16,11/14,NA,11,1RD,2RD,2RD1,1F,1R,-,red,<b>Action</b> - Remove this die to reroll up to 2 of your dice.,1,"""Someone has to save our skins.""",TRUE,TRUE,Ryan Valle,TRUE,28,R,1327,leader,NA,NA,NA
01029,hero,AW,Poe Dameron,Ace Pilot,character,14/18,16/20,NA,12,2RD,3RD1,1Dr,1R,Sp,-,red,"[special] - Discard a card from your hand to resolve one of the sides of its die, if able. Then, if it was a <b>vehicle</b> card, you may pay its cost to play it from your discard pile.",1,NA,TRUE,TRUE,Tony Foti,TRUE,29,L,1328,pilot,NA,NA,NA
01030,hero,AW,Rebel Trooper,NA,character,8,8,NA,7,1RD,2RD,+1RD,1Sh,1R,-,red,Guardian.,3,NA,TRUE,TRUE,Leonid Kozienko,FALSE,30,R,1329,trooper,NA,NA,NA
01031,hero,AW,Launch Bay,NA,support,NA,NA,5,NA,XRD,XRD,XDr,XSh,XDc,-,red,The X on this die is equal to the number of cards in your hand.,2,NA,TRUE,FALSE,Mark Molnar,FALSE,31,L,1330,NA,NA,NA,NA
01032,hero,AW,Black One,NA,support,NA,NA,4,NA,2RD,3RD,1Dr,2Sh,Sp,-,red,[special] - Deal 1 damage to a character. Reroll this die instead of removing it from your pool.,2,Poe Dameron's X-Wing was modified to be even more versatile than the standard T-70,TRUE,FALSE,Darren Tan,TRUE,32,L,1331,vehicle,NA,NA,NA
01033,hero,AW,Scout,NA,upgrade,NA,NA,1,NA,1F,2Dr1,1R,Sp,Sp,-,red,[special] - Look at an opponent's hand and discard the cheapest card from it (you choose in the case of a tie).,2,NA,TRUE,FALSE,Scott Murphy,FALSE,33,R,1332,ability,NA,NA,NA
01034,hero,AW,Survival Gear,NA,upgrade,NA,NA,2,NA,1MD,1F,1Sh,2Sh,1R,+1R,red,NA,2,"To hide from the Empire, the rebels must often brave harsh environments.",TRUE,FALSE,Ryan Barger,FALSE,34,R,1333,equipment,NA,NA,NA
01035,hero,AW,Luke Skywalker,Jedi Knight,character,15/20,14/18,NA,12,2MD,3MD,1F,1Sh,1R,-,blue,"After you activate this character, draw a card.",1,"""I am a Jedi, like my father before me.""",TRUE,TRUE,Darren Tan,TRUE,35,L,1334,jedi,NA,NA,NA
01036,hero,AW,Padawan,NA,character,8,8,NA,7,1MD,1MD,2MD,1F,1R,-,blue,"While this character does not have an upgrade, the cost to attach a <i>weapon</i> to it is decreased by 1.",3,NA,TRUE,TRUE,NA,FALSE,36,R,1335,apprentice,NA,NA,NA
01037,hero,AW,Qui-Gon Jinn,Ataru Master,character,13/17,13/17,NA,11,1MD,2MD,1Sh,2Sh,1R,-,blue,"Before this character gains 1 or more shields, you may remove 1 of his shields to deal 1 damage to a character.",1,"""Your focus determines your reality.""",TRUE,TRUE,Tony Foti,TRUE,37,R,1336,jedi,NA,NA,NA
01038,hero,AW,Rey,Force Prodigy,character,9/12,9/12,NA,10,1MD,+2MD,1Dc,1R,+1R,-,blue,"After you play an upgrade on this character, you may take one additional action.",1,"""I think I can handle myself.""",TRUE,TRUE,Darren Tan,TRUE,38,S,1337,scavenger,NA,NA,NA
01039,hero,AW,Force Protection,NA,upgrade,NA,NA,3,NA,1Dr,1Dc,1R,Sp,Sp,-,blue,"Blue character only.
[special] - Give 3 shields to your characters, distributed as you wish.",2,NA,TRUE,FALSE,NA,FALSE,39,R,1338,ability,NA,NA,NA
01040,hero,AW,Jedi Robes,NA,upgrade,NA,NA,2,NA,1F,1F,1Dr,1R,+1R,-,blue,"After you play this upgrade, give attached character 1 shield, or 2 shields instead in the first round of play.",2,NA,TRUE,FALSE,Magali Villeneuve,FALSE,40,R,1339,equipment,NA,NA,NA
01041,hero,AW,Luke Skywalker's Lightsaber,NA,upgrade,NA,NA,3,NA,3MD1,+3MD,2Sh,1R,Sp,-,blue,"Blue character only.
[special] - Give a character 2 shields or deal 2 unblockable damage to a character.",2,NA,TRUE,FALSE,NA,TRUE,41,L,1340,weapon,NA,NA,NA
01042,hero,AW,One With The Force,NA,upgrade,NA,NA,4,NA,3RD,2F,3F,3Dr,2Sh,2R,blue,"Blue character only.
Before attached character is defeated, this upgrade becomes a support for the rest of the game (it starts ready).",2,NA,TRUE,FALSE,Tiziano Baracchi,FALSE,42,L,1341,ability,NA,NA,NA
01043,hero,AW,BB-8,NA,support,NA,NA,1,NA,1F,1Dr,1Sh,1R,Sp,-,gray,[special] - Reroll this die and one of your other dice.  Do not remove this die from your pool after resolving this ability.,2,"""Orange and white: one of a kind."" <cite>Poe Dameron</cite>",TRUE,FALSE,NA,TRUE,43,R,1342,droid,NA,NA,NA
01044,hero,AW,Rey's Staff,NA,upgrade,NA,NA,2,NA,1MD,1MD,3MD1,1R,Sp,-,gray,[special] - Remove a die showing damage ([melee] or [ranged]),2,NA,TRUE,FALSE,NA,TRUE,44,R,1343,weapon,NA,NA,NA
01045,hero,AW,Finn,First Order Defector,character,13/16,11/13,NA,10,1RD,2RD,1MD,1Sh,1R,-,yellow,"You can attach any <i>weapon</i> to this character, ignoring play restrictions.
You can include Red Villain <i>weapons</i> and <i>vehicles</i> in your deck.",1,"""I'm not going back.""",TRUE,TRUE,Darren Tan,TRUE,45,S,1344,scoundrel,NA,NA,NA
01046,hero,AW,Han Solo,Scoundrel,character,14/18,13/16,NA,10,2RD,3RD1,2Dr,1R,1R,-,yellow,"After you play a card with the Ambush keyword, you may give this character 1 shield.",1,"""You know, sometimes I amaze even myself.""",TRUE,TRUE,NA,TRUE,46,L,1345,scoundrel,NA,NA,NA
01047,hero,AW,Hired Gun,NA,character,8,8,NA,9,2RD1,3RD1,1Dr,1R,1R,-,yellow,NA,3,"""You needn't worry about your reward. If money is all that you love, then that's what you'll receive."" <cite>Leia Organa</cite>",TRUE,TRUE,David Kegg,FALSE,47,R,1346,scoundrel,NA,NA,NA
01048,hero,AW,Padme Amidala,Queen of Naboo,character,10/14,10/14,NA,10,2F,1Dc,1R,Sp,Sp,-,yellow,[special] - Discard the top card of an opponent's deck or spend 1 resource to discard the top 2 cards of an opponent's deck.,1,"""My fate will be no different to that of our people.""",TRUE,FALSE,Carmen Sinek,TRUE,48,R,1347,leader,NA,NA,NA
01049,hero,AW,Millennium Falcon,NA,support,NA,NA,5,NA,3RD,4RD,2F,3Dc,2R,Sp,yellow,[special] - Play a Yellow event from your discard pile or hand for free.,2,"""She may not look like much, but she's got it where it counts."" <cite>Han Solo</cite>",TRUE,FALSE,Fine Molds,TRUE,49,L,1348,vehicle,NA,NA,NA
01050,hero,AW,Diplomatic Immunity,NA,upgrade,NA,NA,4,NA,2F,1Sh,2Sh,3Sh,4Sh,2Dr,yellow,The shields from this die can be given to any of your characters distributed as you wish.,2,NA,TRUE,FALSE,Magali Villeneuve,FALSE,50,R,1349,ability,NA,NA,NA
01051,hero,AW,DL-44 Heavy Blaster Pistol,NA,upgrade,NA,NA,3,NA,3RD,3RD1,+2RD,1R,-,-,yellow,"Ambush.
After you play this upgrade, force an opponent to choose and remove one of their dice.",2,NA,TRUE,FALSE,Alexandre Dainche,FALSE,51,R,1350,weapon,NA,NA,NA
01052,hero,AW,Infiltrate,NA,upgrade,NA,NA,1,NA,1Dr,1Sh,1R,Sp,Sp,-,yellow,[special] - Reroll up to 2 of an opponent's dice.,2,NA,TRUE,FALSE,Javier Charro Martinez,FALSE,52,R,1351,ability,NA,NA,NA
01053,neutral,AW,Outpost,NA,support,NA,NA,2,NA,1F,1Dr,2Dr,1Sh,Sp,-,red,[special] - Resolve the battlefield ability as if you had just claimed it.,2,NA,TRUE,FALSE,Jennifer Lange,FALSE,53,R,1352,NA,NA,NA,NA
01054,neutral,AW,DH-17 Blaster Pistol,NA,upgrade,NA,NA,1,NA,1RD,2RD1,+2RD,1Sh,-,-,red,NA,2,The weapon of choice for rebel soldiers and imperial officers alike during the Galactic Civil War.,TRUE,FALSE,Magali Villeneuve,FALSE,54,R,1353,weapon,NA,NA,NA
01055,neutral,AW,IQA-11 Blaster Rifle,NA,upgrade,NA,NA,3,NA,2RD,+3RD,1Dr,1R,Sp,-,red,[special] - Deal 2 unblockable damage to a character.,2,NA,TRUE,FALSE,Jacob Atienza,FALSE,55,R,1354,weapon,NA,NA,NA
01056,neutral,AW,Promotion,NA,upgrade,NA,NA,1,NA,+1RD,+1MD,1F,1Sh,1R,-,red,"Red character only.
After you play this upgrade, you may draw a card.",2,NA,TRUE,FALSE,Cris Griffin,FALSE,56,R,1355,ability,NA,NA,NA
01057,neutral,AW,Force Throw,NA,upgrade,NA,NA,3,NA,1RD,1Dr,2Dr,Sp,Sp,-,blue,"Blue Character Only.
[special] - Remove a die to deal a character damage equal to the value showing on that die (specials and blanks are zeroes).",2,NA,TRUE,FALSE,NA,FALSE,57,S,1356,ability,NA,NA,NA
01058,neutral,AW,Force Training,NA,upgrade,NA,NA,2,NA,1RD,+2MD,1F,1R,Sp,-,blue,"To play, spot a Blue character.
[special] - Choose and do two of the following: deal 1 damage to a character, or gain 1 resource, or give a character 1 shield.",2,NA,TRUE,FALSE,David Auden Nash,FALSE,58,R,1357,ability,NA,NA,NA
01059,neutral,AW,Lightsaber,NA,upgrade,NA,NA,3,NA,3MD1,+2MD,1Sh,1R,Sp,-,blue,"Redeploy.
[special] - Deal 2 unblockable damage to a character.",2,NA,TRUE,FALSE,Ashton Gallagher,FALSE,59,S,1358,weapon,NA,NA,NA
01060,neutral,AW,Mind Probe,NA,upgrade,NA,NA,4,NA,3RD1,2Dr,2Dc,Sp,Sp,-,blue,"Blue Character only.
[special] - Deal an opponent's character 1 damage for each card in that opponent's hand.",2,NA,TRUE,FALSE,Dmitry Prosvirmin,FALSE,60,S,1359,ability,NA,NA,NA
01061,neutral,AW,Comlink,NA,upgrade,NA,NA,2,NA,1F,1F,1Sh,1R,+1R,-,gray,"After you play this upgrade, you may reroll any number of your dice or any number of an opponent's dice.",2,NA,TRUE,FALSE,Tony Foti,FALSE,61,R,1360,equipment,NA,NA,NA
01062,neutral,AW,Datapad,NA,upgrade,NA,NA,1,NA,1R,+1R,+1R,Sp,-,-,gray,[special] - Turn one of your dice to a side not showing damage ([ranged] or [melee]).,2,NA,TRUE,FALSE,NA,FALSE,62,R,1361,equipment,NA,NA,NA
01063,neutral,AW,Holdout Blaster,NA,upgrade,NA,NA,2,NA,1RD,2RD1,+2RD,1Sh,1R,-,gray,Ambush. Redeploy.,2,NA,TRUE,FALSE,NA,FALSE,63,R,1362,weapon,NA,NA,NA
01064,neutral,AW,Black Market,NA,support,NA,NA,3,NA,+2RD,2F,2Sh,1R,Sp,-,yellow,"[special] - Draw 2 cards. You may play an upgrade from your hand, decreasing its cost by 1.",2,NA,TRUE,FALSE,Tony Foti,FALSE,64,R,1363,NA,NA,NA,NA
01065,neutral,AW,Cunning,NA,upgrade,NA,NA,2,NA,1F,1Dr,1Dc,1R,Sp,-,yellow,"Yellow character only.
[special] - Resolve a special ability ([special]) on another card in play as if it were your card.",2,NA,TRUE,FALSE,NA,FALSE,65,R,1364,ability,NA,NA,NA
01066,neutral,AW,Jetpack,NA,upgrade,NA,NA,2,NA,+2RD,+3RD,1Dr,2Sh,Sp,-,yellow,[special] - Remove a die showing melee damage ([melee]) and give attached character 1 shield.,2,NA,TRUE,FALSE,Cristi Balanescu,FALSE,66,R,1365,equipment,NA,NA,NA
01067,neutral,AW,Thermal Detonator,NA,upgrade,NA,NA,3,NA,1Dc,2Dc,1R,Sp,Sp1,-,yellow,"To play, spot a Yellow character.
[special] - Deal 3 damage to each of an opponent's characters. Discard this upgrade from play.",2,NA,TRUE,FALSE,Alexandru Sabo,FALSE,67,L,1366,weapon,NA,NA,NA
01068,villain,AW,Cannon Fodder,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,Deal one of your non-unique characters damage equal to the value of an opponent's die showing damage ([melee] or [ranged]). Then remove that die.,2,NA,FALSE,FALSE,NA,FALSE,68,C,1367,NA,NA,NA,NA
01069,villain,AW,Closing the Net,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,Force an opponent to choose and remove one of their dice. You may place this event on the bottom of your deck instead of discarding it.,2,NA,FALSE,FALSE,Christina Davis,FALSE,69,C,1368,NA,NA,NA,NA
01070,villain,AW,Endless Ranks,NA,event,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,red,Return one of your defeated non-unique Red characters to the game with no damage on it.,2,"Battle droids are less effective than flesh and blood soldiers, but they are also much cheaper to replace.",FALSE,FALSE,NA,FALSE,70,U,1369,NA,NA,NA,NA
01071,villain,AW,Occupation,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,red,"Play only if you control the battlefield.
Force an opponent to lose all of their resources.",2,NA,FALSE,FALSE,Alex Konstad,FALSE,71,C,1400,NA,NA,NA,NA
01072,villain,AW,Probe,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,Look at two random cards from your opponent's hand and discard any of those cards that are events.,2,NA,FALSE,FALSE,Adam Lane,FALSE,72,C,1401,NA,NA,NA,NA
01073,villain,AW,Sweep the Area,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,Count the number of ready Red characters you have. Reroll that many of an opponent's dice.,2,NA,FALSE,FALSE,Tony Foti,FALSE,73,C,1402,NA,NA,NA,NA
01074,villain,AW,Tactical Mastery,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,Spot a Red character to take up to 2 additional actions.,2,NA,FALSE,FALSE,Matt Bradbury,FALSE,74,U,1403,NA,NA,NA,NA
01075,villain,AW,The Best Defense...,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,Deal one of your Red characters 3 damage to remove up to 2 of an opponent's dice.,2,"""There they are! Blast them!""",FALSE,FALSE,Ryan Barger,FALSE,75,U,1404,NA,NA,NA,NA
01076,villain,AW,Drudge Work,NA,support,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,red,<b>Action</b> - Exhaust this support and one of your characters to gain 1 resource.,2,NA,FALSE,FALSE,NA,FALSE,76,C,1405,NA,NA,NA,NA
01077,villain,AW,Local Garrison,NA,support,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,red,Each opponent gains 1 fewer resource during each upkeep phase to a minimum of 1.,2,NA,FALSE,FALSE,Tyler Walpole,FALSE,77,U,1406,NA,NA,NA,NA
01078,villain,AW,Personal Escort,NA,upgrade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,red,Attached character has the Guardian keyword.,2,NA,FALSE,FALSE,Zachary Graves,FALSE,78,C,1407,ability,NA,NA,NA
01079,villain,AW,Abandon All Hope,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,blue,Force an opponent to choose to either lose all of their resources or discard all cards in their hand.,2,NA,FALSE,FALSE,NA,FALSE,79,U,1408,NA,NA,NA,NA
01080,villain,AW,Boundless Ambition,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Draw cards up to your hand size.,2,NA,FALSE,FALSE,Lucas Durham,FALSE,80,C,1409,NA,NA,NA,NA
01081,villain,AW,Enrage,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Deal 1 damage to one of your Blue characters to gain 1 resource.,2,NA,FALSE,FALSE,Tony Foti,FALSE,81,C,1410,NA,NA,NA,NA
01082,villain,AW,Feel Your Anger,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Count the number of blanks ([blank]) showing on an opponent's dice. Remove that many of their dice.,2,"""Let the hate flow through you."" <cite>Emperor Palpatine</cite>",FALSE,FALSE,Matt Stawicki,FALSE,82,C,1411,NA,NA,NA,NA
01083,villain,AW,Force Strike,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Turn one of your Blue dice to the side showing melee damage ([melee]). Then you may resolve that die.,2,NA,FALSE,FALSE,Jacob Murray,FALSE,83,U,1412,NA,NA,NA,NA
01084,villain,AW,Intimidate,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Remove all shields from a character.,2,NA,FALSE,FALSE,Scott Murphy,FALSE,84,C,1413,NA,NA,NA,NA
01085,villain,AW,Isolation,NA,event,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Spot a Blue character to remove a character die.,2,NA,FALSE,FALSE,Dallas Williams,FALSE,85,C,1414,NA,NA,NA,NA
01086,villain,AW,No Mercy,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,blue,"Discard any number of Blue cards from your hand. Then resolve one of your dice showing damage ([melee] or [ranged]), increasing its value by 1 for each card you just discarded.",2,NA,FALSE,FALSE,Arden Beckwith,FALSE,86,U,1415,NA,NA,NA,NA
01087,villain,AW,Pulling the Strings,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,blue,Look at the top 3 cards of any deck. Then place those cards on the top and/or bottom of that deck in any order.,2,NA,FALSE,FALSE,NA,FALSE,87,C,1416,NA,NA,NA,NA
01088,villain,AW,Emperor's Favor,NA,support,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,Your hand size is increased by 1.,2,NA,FALSE,FALSE,Magali Villeneuve,TRUE,88,U,1417,NA,NA,NA,NA
01089,villain,AW,Power of the Dark Side,NA,support,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,blue,"<b>Action</b> - Exaust this support to reroll one of your dice.  If that die rolls a blank ([blank]), deal 2 unblockable damage to a character.",2,"""If you only knew the power of the dark side."" <cite>Darth Vader</cite>",FALSE,FALSE,Imaginary FS Ltd. PTE,FALSE,89,S,1418,NA,NA,NA,NA
01090,villain,AW,Hidden In Shadow,NA,upgrade,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,blue,"<b>Action</b> - If attached character has no shields, exhaust this upgrade to give it 1 shield.",2,NA,FALSE,FALSE,Adam Lane,FALSE,90,U,1419,ability,NA,NA,NA
01091,villain,AW,Nowhere to Run,NA,event,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,gray,Turn each of your dice showing a blank ([blank]) to any side.,2,NA,FALSE,FALSE,Tom Garden,FALSE,91,U,1420,NA,NA,NA,NA
01092,villain,AW,Ace in the Hole,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,"Discard a Yellow upgrade from your hand to roll its die into your pool, if able. Set aside that die after it is resolved or removed.",2,NA,FALSE,FALSE,David Nash,FALSE,92,U,1421,NA,NA,NA,NA
01093,villain,AW,Armed to the Teeth,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,Discard any number of upgrades from one of your Yellow characters. Then deal damage to a character equal to the number of upgrades you just discarded.,2,NA,FALSE,FALSE,David Auden Nash,FALSE,93,C,1422,NA,NA,NA,NA
01094,villain,AW,Confiscation,NA,event,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,yellow,Spend resources equal to the cost of an opponent's upgrade in play to return that upgrade to their hand.,2,NA,FALSE,FALSE,David Kegg,FALSE,94,U,1423,NA,NA,NA,NA
